N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,70300.0,100.0,-0.14%,100.0,3022314.0,4484245.0,433766.0
2.0,LG에너지솔루션,509000.0,8000.0,-1.55%,500.0,255986.0,382994.0,12137.0
3.0,SK하이닉스,113700.0,4800.0,-4.05%,5000.0,446216.0,1038715.0,68094.0
4.0,삼성바이오로직스,724000.0,0.0,0.00%,2500.0,30013.0,165821.0,9836.0
5.0,POSCO홀딩스,583000.0,15000.0,+2.64%,5000.0,847502.0,984068.0,48501.0
6.0,삼성전자우,57100.0,500.0,-0.87%,100.0,,,
7.0,삼성SDI,589000.0,6000.0,-1.01%,5000.0,201241.0,302575.0,18080.0
8.0,LG화학,564000.0,13000.0,-2.25%,5000.0,518649.0,679738.0,29957.0
9.0,현대차,185700.0,1500.0,-0.80%,5000.0,1425275.0,2557425.0,98198.0
10.0,NAVER,215000.0,1500.0,-0.69%,100.0,82201.0,338990.0,13047.0
11.0,포스코퓨처엠,418000.0,5500.0,+1.33%,500.0,33019.0,46375.0,1659.0
12.0,기아,77800.0,500.0,-0.64%,5000.0,865590.0,737110.0,72331.0
13.0,현대모비스,235500.0,1500.0,-0.63%,5000.0,519063.0,554067.0,20265.0
14.0,KB금융,54100.0,100.0,-0.18%,5000.0,888959.0,7011708.0,56389.0
15.0,셀트리온,147500.0,1100.0,+0.75%,1000.0,22840.0,58917.0,6472.0
16.0,카카오,48250.0,500.0,-1.03%,100.0,71068.0,229635.0,5803.0
17.0,삼성물산,107900.0,900.0,+0.84%,100.0,431617.0,589815.0,25285.0
18.0,신한지주,35750.0,50.0,+0.14%,5000.0,354133.0,6758843.0,58881.0
19.0,LG전자,98800.0,1000.0,-1.00%,5000.0,834673.0,551561.0,35510.0
20.0,SK이노베이션,171000.0,1700.0,-0.98%,5000.0,780569.0,672189.0,39173.0
21.0,포스코인터내셔널,80000.0,1600.0,+2.04%,5000.0,379896.0,125163.0,9025.0
22.0,삼성생명,68400.0,900.0,+1.33%,500.0,403310.0,3161659.0,13866.0
23.0,LG,83900.0,600.0,-0.71%,5000.0,71860.0,296337.0,19414.0
24.0,삼성화재,259000.0,8500.0,+3.39%,500.0,257844.0,882243.0,16061.0
25.0,KT&G,88500.0,300.0,+0.34%,5000.0,58514.0,123017.0,12676.0
26.0,카카오뱅크,24950.0,150.0,-0.60%,5000.0,16058.0,395161.0,3532.0
27.0,한국전력,18420.0,610.0,+3.43%,5000.0,712579.0,2348050.0,-326552.0
28.0,하나금융지주,40150.0,50.0,+0.12%,5000.0,708438.0,5688732.0,46903.0
29.0,메리츠금융지주,55000.0,800.0,+1.48%,500.0,703656.0,927572.0,22009.0
30.0,삼성에스디에스,147200.0,4300.0,-2.84%,500.0,172347.0,119524.0,9161.0
31.0,HD현대중공업,125200.0,500.0,-0.40%,5000.0,90455.0,162894.0,-2892.0
32.0,두산에너빌리티,16850.0,190.0,+1.14%,5000.0,154211.0,230498.0,11061.0
33.0,SK,146900.0,900.0,+0.62%,200.0,1345516.0,1945059.0,80047.0
34.0,고려아연,540000.0,6000.0,+1.12%,5000.0,112194.0,120979.0,9192.0
35.0,SK텔레콤,48750.0,650.0,+1.35%,100.0,173050.0,313083.0,16121.0
36.0,삼성전기,139200.0,900.0,+0.65%,5000.0,94246.0,109972.0,11828.0
37.0,하이브,245500.0,0.0,0.00%,500.0,17762.0,48704.0,2369.0
38.0,우리금융지주,12000.0,50.0,+0.42%,5000.0,423727.0,4804744.0,44305.0
39.0,S-Oil,78000.0,100.0,+0.13%,2500.0,424460.0,196131.0,34052.0
40.0,기업은행,10920.0,70.0,+0.65%,5000.0,275361.0,4319797.0,37748.0
41.0,HD한국조선해양,118800.0,200.0,-0.17%,5000.0,173020.0,298835.0,-3556.0
42.0,대한항공,22750.0,250.0,+1.11%,5000.0,140961.0,289977.0,28306.0
43.0,KT,32350.0,400.0,+1.25%,5000.0,256500.0,409807.0,16901.0
44.0,HMM,16810.0,210.0,+1.27%,5000.0,185828.0,259735.0,99516.0
45.0,금양,136200.0,6100.0,+4.69%,500.0,2131.0,2828.0,132.0
46.0,아모레퍼시픽,130100.0,400.0,-0.31%,500.0,41349.0,58018.0,2142.0
47.0,한화오션,34600.0,500.0,-1.42%,5000.0,48602.0,122357.0,-16136.0
48.0,크래프톤,153600.0,800.0,+0.52%,100.0,18540.0,60303.0,7516.0
49.0,삼성중공업,8230.0,20.0,+0.24%,1000.0,59447.0,144917.0,-8544.0
50.0,LG생활건강,462500.0,0.0,0.00%,5000.0,71858.0,73029.0,7111.0
